medio,pais,linea,titulo,resumen,url,publicado,actor_refs
El País,ES,centroizquierda,Harry Potter y la piedra filosofal,"Tráiler, temporadas, actores, actrices, fechas de estreno y en qué plataforma ver la nueva adaptación de los libros sobre el niño mago escritos por J.K. Rowling.",https://elpais.com/television/series/harry-potter-y-la-piedra-filosofal/,2026-12-25T09:26:00+00:00,{}
El Diario,ES,izquierda,El puzle energético español: entre las sombras del gran apagón y el atasco del coche eléctrico,"<p><img alt=""El puzle energético español: entre las sombras del gran apagón y el atasco del coche eléctrico"" height=""675"" src=""https://static.eldiario.es/clip/d265ca7a-0148-4891-b199-3cc42549417b_16-9-discover-aspect-ratio_default_0_x1485y904.jpg"" width=""1200"" /></p><div class=""subtitles""><p class=""subtitle"">Un año después del “cero absoluto”, los informes técnicos apuntan a un fallo multifactorial mientras crece la presión por esclarecer las causas y los responsables. Las renovables baten al carbón por primera vez en la historia. España, con un parque de coches envejecido, pilota una transici",https://www.eldiario.es/blog/contraoferta/puzle-energetico-espanol-sombras-gran-apagon-atasco-coche-electrico_132_13164946.html,2026-04-23T07:01:27+00:00,"{""EEUU"": 5, ""ISRAEL"": 1, ""CHINA"": 1, ""IRAN"": 1}"
El Diario,ES,izquierda,"La mayoría de chalecos salvavidas del Titanic desaparecieron en el mar, pero este se acaba de vender por casi un millón de euros","<p><img alt=""La mayoría de chalecos salvavidas del Titanic desaparecieron en el mar, pero este se acaba de vender por casi un millón de euros"" height=""675"" src=""https://static.eldiario.es/clip/bdeeedb6-08c1-49e8-9bc5-948bf1376c81_16-9-discover-aspect-ratio_default_0.jpg"" width=""1200"" /></p><div class=""subtitles""><p class=""subtitle"">El chaleco fue utilizado por Laura Mabel Francatelli, una pasajera de primera clase que sobrevivió al hundimiento del transatlántico</p><p class=""subtitle"">El reloj que sobrevivió al Titanic rompe récords: se subasta por dos millones de euros</p></div><p class=""arti",https://www.eldiario.es/spin/mayoria-chalecos-salvavidas-titanic-desaparecieron-mar-acaba-salir-subasta-millon-dolares-pm_1_13163174.html,2026-04-23T07:00:05+00:00,"{""EEUU"": 1}"
The Guardian,UK,centroizquierda,"Schools forced to cut back on support for Send pupils in England, poll finds","<p>More than 70% have cut down in past year on teaching assistants, who play key role in helping children with Send</p><p>Two-fifths of school leaders in England have been forced to cut back on support for children with special educational needs due to a financial crisis “more than a decade in the making”, according to a poll.</p><p>Seven out of 10 (71%) leaders say they have cut down on teaching assistants (TAs) in the past year, while 49% have reduced support staff. The crisis could escalate as 81% warn of further cuts in the year ahead.</p> <a href=""https://www.theguardian.com/education/202",https://www.theguardian.com/education/2026/apr/23/schools-forced-to-cut-back-on-support-for-send-pupils-in-england-poll-finds,2026-04-23T07:00:03+00:00,{}
The Guardian,UK,centroizquierda,Australia news live: Albanese says his mother would have been eligible for the trimmed-down NDIS; Minns says about a third of cuts will be in NSW,"<p>Follow today’s news live</p><ul><li><p>Get our <a href=""https://www.theguardian.com/email-newsletters?CMP=cvau_sfl"">breaking news email</a>, <a href=""https://app.adjust.com/w4u7jx3"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></p></li></ul><p><strong>James Valentine’s</strong> family has released a statement after his death. Here’s what they had to say:</p><p>James passed peacefully at home surrounded by his family, who adored him.<br /><br />
 Throughout his illness, James did it his way, which lasted all the way",https://www.theguardian.com/australia-news/live/2026/apr/23/budget-cost-of-living-ndis-cuts-health-insurance-rebate-mark-butler-anthony-albanese-fuel-crisis-labor-coalition-ntwnfb,2026-04-23T06:58:32+00:00,{}
France24 ES,FR,centrist,"Choque de trenes en Dinamarca deja 17 heridos, cuatro en estado crítico","Dos trenes locales chocaron de frente este jueves al norte de Copenhague, dejando 17 heridos, cuatro de ellos en estado crítico. Todas las víctimas fueron trasladadas a centros hospitalarios en ambulancias y helicópteros, mientras los pasajeros ilesos fueron evacuados a un punto de concentración. Las autoridades indican que la situación está bajo control.",https://www.france24.com/es/europa/20260423-choque-de-trenes-en-dinamarca-deja-17-heridos-cuatro-en-estado-cr%C3%ADtico,2026-04-23T06:56:28+00:00,{}
El País,ES,centroizquierda,Salvador Illa reivindica el catalán en un discurso de Sant Jordi centrado en la regularización de inmigrantes,"“Cada nuevo catalanoparlante es el éxito colectivo del país”, asegura el ‘president’",https://elpais.com/espana/catalunya/2026-04-23/salvador-illa-reivindica-el-catalan-en-un-discurso-de-sant-jordi-centrado-en-la-regularizacion-de-inmigrantes.html,2026-04-23T06:48:23+00:00,{}
The Guardian,UK,centroizquierda,"Australians ‘uneasy’ about NDIS cuts amid $53bn in new defence spending, Mark Butler concedes","<p>Minister tells Guardian Australia despite substantial changes to disability scheme, it will remain one of best support services ‘anywhere in the world’</p><ul><li><p>Listen to the podcast: <a href=""https://www.theguardian.com/australia-news/audio/2026/apr/23/disability-minister-mark-butler-on-the-necessary-cuts-to-an-ndis-under-pressure-australian-politics-podcast"">Disability minister Mark Butler on the ‘necessary’ cuts to an NDIS ‘under pressure’</a></p></li><li><p><a href=""https://www.theguardian.com/australia-news/live/2026/apr/23/budget-cost-of-living-ndis-cuts-health-insurance-rebate-m",https://www.theguardian.com/australia-news/2026/apr/23/mark-butler-ndis-cuts-defence-spending,2026-04-23T06:41:37+00:00,{}
El Diario,ES,izquierda,Adif reabrirá el 30 de abril la conexión directa de AVE entre Málaga y Madrid,"<p><img alt=""Adif reabrirá el 30 de abril la conexión directa de AVE entre Málaga y Madrid"" height=""675"" src=""https://static.eldiario.es/clip/e98d0204-bb43-47a5-8f63-542374b6284a_16-9-discover-aspect-ratio_default_0.jpg"" width=""1200"" /></p><div class=""subtitles""><p class=""subtitle"">Tras varios meses de suspensión por el accidente de Adamuz y posteriormente un derrumbe de tierras, la línea de alta velocidad Madrid-Málaga reabre la próxima semana </p></div><p class=""article-text"">
        La conexi&oacute;n directa de AVE entre M&aacute;laga y Madrid, interrumpida desde principios de febrero, se",https://www.eldiario.es/andalucia/adif-reabrira-30-abril-conexion-directa-ave-malaga-madrid_1_13165572.html,2026-04-23T06:40:42+00:00,{}
El Mundo,ES,centroderecha,"El choque de dos trenes en Dinamarca deja al menos 17 heridos, cuatro en estado crítico","El incidente ocurrió cerca de Hillerød, al norte de Copenhague&nbsp;<a href=""https://www.elmundo.es/internacional/2026/04/23/69e9b447fdddff873e8b458d.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=https://www.elmundo.es/rss/index.xml"" />",https://www.elmundo.es/internacional/2026/04/23/69e9b447fdddff873e8b458d.html,2026-04-23T06:39:06+00:00,{}
